"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"ENSG00000007516.9",6.14974711950468,7.09803208296053,6.70043971814109,6.79441586635011,7.09803208296053,5.88264304936184,7.04439411935845,6.08746284125034,7.97727992349992,8.25738784269265,5.12928301694497,8.27612440527424
"ENSG00000007520.3",5.4262647547021,7.17990909001493,8.11894107272351,8.25738784269265,7.2667865406949,7.18982455888002,8.45532722030456,6.6724253419715,7.93663793900257,8.53915881110803,6.56985560833095,8.61470984411521
"ENSG00000007866.14",0,1,1.58496250072116,1.58496250072116,1,0,1.58496250072116,2,2.58496250072116,2.58496250072116,0,3.16992500144231
"ENSG00000007923.11",5.24792751344359,6.61470984411521,7.876516946565,7.8703647195834,7.39231742277876,6.12928301694497,8.21916852046216,6.4262647547021,8.17990909001493,8.35314682549808,6.39231742277876,8.19475685442225
"ENSG00000007944.10",7.33091687811462,8.48381577726426,9.62570884306447,10.292321632802,9.47775826644389,9.70390357344466,10.4635243732712,8.4093909361377,9.94251450533924,10.3014961949825,8.39231742277876,10.9908130791536
"ENSG00000007968.6",9.20212382383046,8.33091687811462,9.18487534290828,9.37286506011259,11.2946207488916,11.680799034573,8.65105169117893,8.16490692667569,10.6054795180617,7.82654848729092,10.2143191208008,10.7021726853655
"ENSG00000008083.9",8.43462822763673,9.46352437327118,10.243173983473,10.3320365483617,10.1836353814732,9.82177398197057,10.8665062122262,8.43879185257826,10.5459297690855,11.2094533656289,8.77807712953536,11.4141566792741
"ENSG00000008086.6",4.58496250072116,6.28540221886225,6.97727992349992,7.45121111183233,6.8703647195834,7.12928301694497,7.53138146051631,5.20945336562895,7.13955135239879,7.4178525148859,5.20945336562895,8.43045255166553
"ENSG00000008130.11",10.1189410727235,11.6895612542855,12.0230612497353,13.2334698875221,11.9244413923392,12.0457596613827,12.8587580999354,10.3520434257954,12.3292357417338,13.1054174897766,10.6803595235137,13.9679467058127
"ENSG00000008277.10",3.16992500144231,5.6724253419715,6.49185309632967,6.22881869049588,5.12928301694497,3.70043971814109,6.71424551766612,6.04439411935845,6.32192809488736,6.16992500144231,4.85798099512757,6.59991284218713
"ENSG00000008282.3",5.70043971814109,7.70735913208088,8.95419631038687,8.71080643369935,7.6724253419715,7.5077946401987,9.00842862207058,7.28540221886225,8.67595703294175,9.3151495622563,7.33985000288462,8.96866679319521
"ENSG00000008283.11",5.24792751344359,8.73809225962049,8.64745842645492,8.50382573799575,8.08214904135387,6.75488750216347,7.90086680798075,6.37503943134692,8.34872815423108,7.97154355395077,6.4262647547021,7.93073733756289
"ENSG00000008294.16",9.4178525148859,10.894059846274,11.6555307231556,11.9004894848346,11.179287104646,11.4943556035328,12.3473445394315,9.76155123244448,11.3575520046181,12.1910592145317,9.94104760634058,12.5926906153534
"ENSG00000008311.10",3.16992500144231,1,5.6724253419715,6.02236781302845,4.39231742277876,4.39231742277876,5.20945336562895,5.52356195605701,6.4757334309664,5.4262647547021,4.75488750216347,5.7279204545632
"ENSG00000008324.6",3.90689059560852,5.95419631038687,7.53138146051631,7.33091687811462,6.44294349584873,6.22881869049588,6.90689059560852,5.08746284125034,6.10852445677817,6.75488750216347,5.28540221886225,6.93073733756289
"ENSG00000008382.11",3.70043971814109,5.4262647547021,6.32192809488736,6.18982455888002,5.97727992349992,5.58496250072116,6.84549005094437,4.32192809488736,6.24792751344359,6.61470984411521,4.75488750216347,6.35755200461808
"ENSG00000008438.4",5.70043971814109,9.1006623390052,8.32192809488736,8.16490692667569,6.97727992349992,8.2045711442492,8.90388184573618,6.44294349584873,8.83289001416474,8.34429590791582,8.09275714091985,10.1484765821783
